timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674750180250,137,/get_method,200,OK,Home_Work_250_Threads 1-60,text,true,,168,150,77,77,http://162.55.220.72:5005/get_method?name=Nata&age=51,137,0,43
1674750180242,148,/get_method,200,OK,Home_Work_250_Threads 1-59,text,true,,168,150,77,77,http://162.55.220.72:5005/get_method?name=Nata&age=51,148,0,47
1674750180243,149,/user_info_3,200,OK,Home_Work_250_Threads 1-31,text,true,,369,247,77,77,http://162.55.220.72:5005/user_info_3,149,0,48
1674750180244,149,/object_info_1,200,OK,Home_Work_250_Threads 1-19,text,true,,230,163,77,77,http://162.55.220.72:5005/object_info_1?name=Nata&age=51&weight=56,149,0,47
1674750180250,143,/user_info_2,200,OK,Home_Work_250_Threads 1-43,text,true,,463,247,78,78,http://162.55.220.72:5005/user_info_2,143,0,45
1674750180258,138,/get_method,200,OK,Home_Work_250_Threads 1-61,text,true,,168,150,78,78,http://162.55.220.72:5005/get_method?name=Nata&age=51,138,0,42
1674750180255,143,/user_info_2,200,OK,Home_Work_250_Threads 1-44,text,true,,463,247,78,78,http://162.55.220.72:5005/user_info_2,143,0,47
1674750180259,139,/object_info_2,200,OK,Home_Work_250_Threads 1-8,text,true,,463,165,78,78,http://162.55.220.72:5005/object_info_2?name=Nata&age=51&salary=2000,139,0,44
1674750180264,138,/object_info_1,200,OK,Home_Work_250_Threads 1-20,text,true,,230,163,79,79,http://162.55.220.72:5005/object_info_1?name=Nata&age=51&weight=56,138,0,43
1674750180256,147,/user_info_2,200,OK,Home_Work_250_Threads 1-45,text,true,,463,247,79,79,http://162.55.220.72:5005/user_info_2,147,0,48
1674750180271,133,/user_info_3,200,OK,Home_Work_250_Threads 1-32,text,true,,369,247,79,79,http://162.55.220.72:5005/user_info_3,133,0,42
1674750180266,141,/get_method,200,OK,Home_Work_250_Threads 1-62,text,true,,168,150,79,79,http://162.55.220.72:5005/get_method?name=Nata&age=51,141,0,45
1674750180276,133,/object_info_2,200,OK,Home_Work_250_Threads 1-6,text,true,,463,165,79,79,http://162.55.220.72:5005/object_info_2?name=Nata&age=51&salary=2000,133,0,42
1674750180275,136,/get_method,200,OK,Home_Work_250_Threads 1-63,text,true,,168,150,80,80,http://162.55.220.72:5005/get_method?name=Nata&age=51,136,0,42
1674750180277,135,/user_info_2,200,OK,Home_Work_250_Threads 1-46,text,true,,463,247,80,80,http://162.55.220.72:5005/user_info_2,135,0,43
1674750180283,132,/get_method,200,OK,Home_Work_250_Threads 1-64,text,true,,168,150,80,80,http://162.55.220.72:5005/get_method?name=Nata&age=51,132,0,43
1674750180290,126,/get_method,200,OK,Home_Work_250_Threads 1-65,text,true,,168,150,80,80,http://162.55.220.72:5005/get_method?name=Nata&age=51,126,0,43
1674750180294,127,/object_info_2,200,OK,Home_Work_250_Threads 1-7,text,true,,463,165,81,81,http://162.55.220.72:5005/object_info_2?name=Nata&age=51&salary=2000,127,0,43
1674750180291,130,/user_info_2,200,OK,Home_Work_250_Threads 1-47,text,true,,463,247,81,81,http://162.55.220.72:5005/user_info_2,130,0,44
